kelime;anlam;lowercase;tokens;lemmas;stemmed
Alartı;Aydınlık.;aydınlık;aydınlık;aydınlık;aydınlık
Allancak;Hamak;hamak;hamak;hamak;hamak
Alaşağı;Horonda eğilme.;horonda eğilme;eğilme horonda;eğilme horonda;eğil horon
Alemeşkere;Alani, açıkca yapma.;alani yapma açıkca;alani açıkca yapma;alani açıkca yapma;alani açık yapma
Aluşuk;Devamlı gelen.alışkan.Ucu yanan odun.;devamlı gelen alışkan ucu yanan odun;alışkan devamlı gelen odun ucu yanan;alışkan devamlı gelen odun ucu yanan;alışkan devam gelen odun uç yanan
Amade;Hazır olan;hazır olan;hazır olan;hazır olan;hazır olan
Amel;İshal.;i̇shal;i̇shal;i̇shal;i̇shal
Andaval;Salak,aptal;salak aptal;aptal salak;aptal salak;aptal salak
Andır;Adı bilinmeyen.İşe yaramayan.;bilinmeyen i̇şe yaramayan adı;adı bilinmeyen i̇şe yaramayan;adı bilinmeyen i̇şe yaramayan;ad bilinmeyen i̇şe yaramayan
Andır kalsın;Uzak dursun .;uzak dursun;dursun uzak;dursun uzak;durs uzak
Angaz;Büyük,ağır ve hantal eşya.;hantal eşya ve büyük ağır;ağır büyük eşya hantal;ağır büyük eşya hantal;ağır büyük eşya hantal
Angut;Aptal,avanak;aptal avanak;aptal avanak;aptal avanak;aptal avanak
Annak;Meydan,görünür.;meydan görünür;görünür meydan;görünür meydan;görünür meydan
Annaklama;Gözetleme.bakma.;gözetleme bakma;bakma gözetleme;bakma gözetleme;bakm gözetle
Anlak;Açık alan.;açık alan;alan açık;alan açık;alan açık
Argış;Yük taşımada  verilen mola.;taşımada mola yük verilen;mola taşımada verilen yük;mola taşımada verilen yük;mol taşıma verilen yük
Arpacık;Gözde çıkan sivil.Ekilecek küçük soğan .;çıkan küçük sivil ekilecek gözde soğan;ekilecek gözde küçük sivil soğan çıkan;ekilecek gözde küçük sivil soğan çıkan;ekilecek göz küçük sivil soğan çıkan
Arısokması;Arı ısırması.;arı ısırması;arı ısırması;arı ısırması;ar ısırma
Arkuru;Paralel.;paralel;paralel;paralel;paralel
Arkurulamak;Yan tarafa doğru gitmek.;yan gitmek tarafa doğru;doğru gitmek tarafa yan;doğru gitmek tarafa yan;doğr gitmek taraf yan
Artuk;Yemekten arda kalan.;kalan arda yemekten;arda kalan yemekten;arda kalan yemekten;ar kalan yemek
Aruk;Zayıf.;zayıf;zayıf;zayıf;zayıf
Aruklama;Zayıflama.;zayıflama;zayıflama;zayıflama;zayıflama
Aşak;Yünden ip yapma aracı;aracı yapma yünden ip;aracı ip yapma yünden;aracı ip yapma yünden;araç ip yapma yün
Aşar;Olgun turşu;turşu olgun;olgun turşu;olgun turşu;olg turş
Aşana;Evlere giriş kısmı;evlere giriş kısmı;evlere giriş kısmı;evlere giriş kısmı;ev giriş kısm
Aşıkatma;Yarışma.Rekabet.;yarışma rekabet;rekabet yarışma;rekabet yarışma;rekabet yarış
Aşlama;Meyve ağacına aşı,veya ekleme;ağacına meyve ekleme aşı veya;ağacına aşı ekleme meyve;ağacına aşı ekleme meyve;ağaç aş ekle meyv
Aşki;Olayın nedeni belli olması.;belli nedeni olması olayın;belli nedeni olayın olması;belli nedeni olayın olması;bell neden olay olma
Aşmak;Geçmek;geçmek;geçmek;geçmek;geçmek
Aştı;Geçti.;geçti;geçti;geçti;geçt
Atkı;Omuza alınan örtü,şal.;omuza örtü şal alınan;alınan omuza örtü şal;alınan omuza örtü şal;alınan omuz ört şal
Atlak;Dereden kolay geçme yer.;yer dereden geçme kolay;dereden geçme kolay yer;dereden geçme kolay yer;dere geçm kolay yer
Atlama;Ayıklama.Fındık ocağını budama yapmak.;ayıklama fındık budama yapmak ocağını;ayıklama budama fındık ocağını yapmak;ayıklama budama fındık ocağını yapmak;ayıkla buda fın ocak yapmak
Avcuk;Ellin iç kısmı.Aya.;iç ellin kısmı aya;aya ellin iç kısmı;aya ellin iç kısmı;a ell iç kısm
Avu;Zehir,orman güllü.;zehir orman güllü;güllü orman zehir;güllü orman zehir;güll orman zehir
Avuz;Doğum yapan ineğin ilk sütü;ilk sütü yapan doğum ineğin;doğum ilk ineğin sütü yapan;doğum ilk ineğin sütü yapan;dok ilk inek süt yapan
Ayam;Hava.Hava durumu.;hava hava durumu;durumu hava;durumu hava;dur hav
Ayama;Takma ad,lakap.;takma ad lakap;ad lakap takma;ad lakap takma;ad lakap takm
Ayalama;Koruma,yetiştirme.;koruma yetiştirme;koruma yetiştirme;koruma yetiştirme;kor yetiştir
Ayetse;Yavaş yavaş.;yavaş yavaş;yavaş;yavaş;yavaş
Ayırtlama;Temizleme.;temizleme;temizleme;temizleme;temizle
Aykuru;Ters;ters;ters;ters;ters
Aylak;Avare gezen.;avare gezen;avare gezen;avare gezen;avare gezen
Ayı kulağı;Zehirli bitki;zehirli bitki;bitki zehirli;bitki zehirli;bitki zehir
Azgun;Çıldın,deli.;çıldın deli;deli çıldın;deli çıldın;del çılt
Azık;Yolculukta bahçede yenecek yemek;yenecek bahçede yolculukta yemek;bahçede yemek yenecek yolculukta;bahçede yemek yenecek yolculukta;bahçe yemek yenecek yolculuk
Azma;Olduğundan fazla gözükme.Gelişme.;fazla gözükme gelişme olduğundan;fazla gelişme gözükme olduğundan;fazla gelişme gözükme olduğundan;fazl geliş gözük olduk
Azman;Melez.;melez;melez;melez;melez
"Bahçe.Fındık bahçesi. 
Bad";Koyun geceleme yeri.;koyun yeri geceleme;geceleme koyun yeri;geceleme koyun yeri;gecele koy yer
Baddal;Geniş,bol;geniş bol;bol geniş;bol geniş;bol geniş
Bahalı;Fiyatlı;fiyatlı;fiyatlı;fiyatlı;fiyat
Bakraç;Kuplu süt,su kabı.;süt su kuplu kabı;kabı kuplu su süt;kabı kuplu su süt;kap kupl su süt
Balçık;Çok sulu çamur.;sulu çamur çok;sulu çamur;sulu çamur;su çamur
Baldıran;Yabani bitki.;yabani bitki;bitki yabani;bitki yabani;bitki yabani
Bannık;Yabani mor çiçekli bitki.;yabani mor çiçekli bitki;bitki mor yabani çiçekli;bitki mor yabani çiçekli;bitki mor yabani çiçek
Bar;Beyaz küf.;beyaz küf;beyaz küf;beyaz küf;beyaz küf
Baraballi;Tabanca çeşiti.;tabanca çeşiti;tabanca çeşiti;tabanca çeşiti;taba çeşi
Bardabaş;Çok gürültü yapan kişi.;kişi yapan gürültü çok;gürültü kişi yapan;gürültü kişi yapan;gürül kiş yapan
Bat;Tahta avlu,çit.;tahta avlu çit;avlu tahta çit;avlu tahta çit;avlu tah çit
Batıl;Geçersiz.;geçersiz;geçersiz;geçersiz;geçers
Batırma;Sokma.delme.;sokma delme;delme sokma;delme sokma;delm sokm
Batman;Bir sürü.Ağır.;bir sürü ağır;ağır bir sürü;ağır bir sürü;ağır bir sür
Basuk;Zayıf cılız çocuk.Kısa,cüce.;cılız zayıf çocuk kısa cüce;cüce cılız kısa zayıf çocuk;cüce cılız kısa zayıf çocuk;cüç cıl kıs zayıf çocuk
Basur;Mayasıl.Kaşıntı.;mayasıl kaşıntı;kaşıntı mayasıl;kaşıntı mayasıl;kaş mayasıl
Başak;Toplamadan kalan fındık.Soğlama.;kalan fındık soğlama toplamadan;fındık kalan soğlama toplamadan;fındık kalan soğlama toplamadan;fın kalan soğla toplama
Bayak;Az önce.Demin.;önce demin az;demin önce;demin önce;dem önç
Bece;Gece.;gece;gece;gece;geç
Bed;Kötü.Çirkin.;kötü çirkin;kötü çirkin;kötü çirkin;kötü çirk
Beduru;Kuyu kazanı;kuyu kazanı;kazanı kuyu;kazanı kuyu;kazan kuy
Bel;Çatal ağızlı tarım aleti.;aleti ağızlı tarım çatal;aleti ağızlı tarım çatal;aleti ağızlı tarım çatal;alet ağız tar çatal
Bellemek;Toprak işlemek.;işlemek toprak;işlemek toprak;işlemek toprak;işlemek toprak
Belertmek;Gözünü iyice açmak,Korkutmak.;gözünü iyice açmak korkutmak;açmak gözünü iyice korkutmak;açmak gözünü iyice korkutmak;açmak göz iyi korkutmak
Berata;Tabanca çeşiti.;tabanca çeşiti;tabanca çeşiti;tabanca çeşiti;taba çeşi
Bere;Koyun sağım yeri.;sağım koyun yeri;koyun sağım yeri;koyun sağım yeri;koy sak yer
Beri;Burası.;burası;burası;burası;bura
Besbelli;Herhalde.Belli ki.;herhalde belli ki;belli herhalde;belli herhalde;bell herhalde
Beşbıyık;Muşmula meyvesi.;meyvesi muşmula;meyvesi muşmula;meyvesi muşmula;meyve muşm
Beter;Çok,fena.;çok fena;fena;fena;fena
Beylik;Fabrikasyon.;fabrikasyon;fabrikasyon;fabrikasyon;fabrikasyon
Bezene;Bezelye;bezelye;bezelye;bezelye;bezelye
Bıldır;Geçen sene.;geçen sene;geçen sene;geçen sene;geçen sen
Bızdıklama;Hızla koşmak.tekme.;hızla koşmak tekme;hızla koşmak tekme;hızla koşmak tekme;hızl koşmak tekm
Bıllak;Parlak;parlak;parlak;parlak;parlak
Biçik;Yeni doğan buzağı.;yeni doğan buzağı;buzağı doğan yeni;buzağı doğan yeni;buzak doğan yen
Bibi;Büyük hala.;hala büyük;büyük hala;büyük hala;büyük hal
Bidutam;Az,Biraz;az biraz;biraz;biraz;biraz
Bile;Beraber.;beraber;beraber;beraber;beraber
Bileki;Ekmek pişirilen  kap.;ekmek pişirilen kap;ekmek kap pişirilen;ekmek kap pişirilen;ekmek kap pişirilen
Bidorama;Azıcık.;azıcık;azıcık;azıcık;azıcık
Bisürü;Çok fazla.;fazla çok;fazla;fazla;fazl
Bişi;Önemli gizli söz.;söz önemli gizli;gizli söz önemli;gizli söz önemli;gizl söz önem
Bitduma;Azıcık.;azıcık;azıcık;azıcık;azıcık
Bittik;Çok az ,minnacık;az minnacık çok;minnacık;minnacık;minnacık
Boduç;Ağaç kap.;ağaç kap;ağaç kap;ağaç kap;ağaç kap
Bohça;Beze sarılarak taşınan eşya.;taşınan beze sarılarak eşya;beze eşya sarılarak taşınan;beze eşya sarılarak taşınan;bez eşya sarılarak taşınan
Bostan;Hıyar;hıyar;hıyar;hıyar;hıyar
Boydak;Yalnız başına.;başına yalnız;başına yalnız;başına yalnız;baş yaln
Boyuna;Sürekli,devamlı.;sürekli devamlı;devamlı sürekli;devamlı sürekli;devam sürek
Bozaltı;Alaca karanlık.;alaca karanlık;alaca karanlık;alaca karanlık;alaç karanlık
Böce;Fasulye.;fasulye;fasulye;fasulye;fasulye
Böçük;Böçek.;böçek;böçek;böçek;böçek
Böğün;Bugün.;bugün;bugün;bugün;bugü
Böğür;Göğüs.;göğüs;göğüs;göğüs;göğüs
Börmek;Uzun sesli öksürmek.;uzun öksürmek sesli;sesli uzun öksürmek;sesli uzun öksürmek;sesl uzun öksürmek
Börülce;Yabani bitki;yabani bitki;bitki yabani;bitki yabani;bitki yabani
Bucaklık;Evlerdeki mutfak odası.;evlerdeki odası mutfak;evlerdeki mutfak odası;evlerdeki mutfak odası;ev mutfak odas
Buğuz;Eziyet,zülum.;eziyet zülum;eziyet zülum;eziyet zülum;eziyet zülum
Buğuz etme;Eziyet,zülum etme.;etme eziyet zülum;etme eziyet zülum;etme eziyet zülum;etm eziyet zülum
Bukma.;Ters çevireme,sıkma.;ters çevireme sıkma;sıkma ters çevireme;sıkma ters çevireme;sıkm ters çevire
Bulaşuk;İspiyoncu.;i̇spiyoncu;i̇spiyoncu;i̇spiyoncu;i̇spiyoncu
Bunamak;Çok canı darlanmak,sıkılmak.;darlanmak sıkılmak canı çok;canı darlanmak sıkılmak;canı darlanmak sıkılmak;can darlanmak sıkılmak
Buruk;Acı.;acı;acı;acı;aç
Buymak;Üşümek.;üşümek;üşümek;üşümek;üşümek
Bük;Düzlük arazi.;arazi düzlük;arazi düzlük;arazi düzlük;arazi düzlük
Bükük;Eğri olan.;eğri olan;eğri olan;eğri olan;eğr olan
Büngüldemek;Yerinde duramamak.Oynak.;yerinde duramamak oynak;duramamak oynak yerinde;duramamak oynak yerinde;duramamak oynak yer
Bürümcek;Beyaz başörtüsü.;beyaz başörtüsü;başörtüsü beyaz;başörtüsü beyaz;başörtü beyaz
Büsumuk;Bunaltıcı.Sıkıcı kapalı.;bunaltıcı sıkıcı kapalı;bunaltıcı kapalı sıkıcı;bunaltıcı kapalı sıkıcı;bunaltıç kapa sıkıç
Büz;Beton boru.;boru beton;beton boru;beton boru;beton bor
Büzük;Toplu,buruşuk,kırış;toplu buruşuk kırış;buruşuk kırış toplu;buruşuk kırış toplu;buruşuk kırış topl
"C-  
   
Cadaloz";Geçimsiz.Çirkef.;geçimsiz çirkef;geçimsiz çirkef;geçimsiz çirkef;geçims çirkef
Cahal;Bilgisiz,cahil.;bilgisiz cahil;bilgisiz cahil;bilgisiz cahil;bilgis cahil
Cahdetmek;Azimetmek.;azimetmek;azimetmek;azimetmek;azimetmek
Camedan;Vitrin,cam arkası.;arkası vitrin cam;arkası cam vitrin;arkası cam vitrin;arka cam vitr
Cam Işığı;Gaz lambası.;gaz lambası;gaz lambası;gaz lambası;gaz lamba
Camadan;Keçi kılı sırt çantası;çantası keçi kılı sırt;keçi kılı sırt çantası;keçi kılı sırt çantası;keç kıl sırt çanta
Camış;Manda.;manda;manda;manda;man
Canketme;Yeni anlama.Aklı başına gelme.;yeni başına anlama aklı gelme;aklı anlama başına gelme yeni;aklı anlama başına gelme yeni;akl anla baş gelm yen
Caplama;Az kalın kereste.cıta.;kalın az kereste cıta;cıta kalın kereste;cıta kalın kereste;cı kal keres
Cara;Akıntı.;akıntı;akıntı;akıntı;akın
Caranak;Sağnak yağmur.;sağnak yağmur;sağnak yağmur;sağnak yağmur;sağnak yağmur
Cavaloz;Sincap;sincap;sincap;sincap;sincap
Caydak;Yalnız,tek başına.;başına yalnız tek;başına tek yalnız;başına tek yalnız;baş tek yaln
Cazgır;Çok konuşan.;konuşan çok;konuşan;konuşan;konuşan
Cazı;Kurnaz.Hırcın.Fesat kadın.;kadın kurnaz hırcın fesat;fesat hırcın kadın kurnaz;fesat hırcın kadın kurnaz;fesat hırç kat kurnaz
Ceccal;Çok yaramaz çocuk.;çocuk yaramaz çok;yaramaz çocuk;yaramaz çocuk;yaramaz çocuk
Celecoş;Keş pişirilerek yapılan yemek.;yemek pişirilerek yapılan keş;keş pişirilerek yapılan yemek;keş pişirilerek yapılan yemek;keş pişirilerek yapılan yemek
Celep;Koyun sürüsü,davalar.;koyun sürüsü davalar;davalar koyun sürüsü;davalar koyun sürüsü;dava koy sürü
Cember;Başörtü çeşidi.;çeşidi başörtü;başörtü çeşidi;başörtü çeşidi;başör çeşi
Ceek Garga;Bağıran alakarga.;bağıran alakarga;alakarga bağıran;alakarga bağıran;alakarg bağıran
Cenderme;Jandarma.;jandarma;jandarma;jandarma;jandar
Cenik;Yaylaya göre sahil.;göre sahil yaylaya;göre sahil yaylaya;göre sahil yaylaya;gör sahil yayla
Cepken;Yağmurluk;yağmurluk;yağmurluk;yağmurluk;yağmurluk
Cerahat;İltahap.İrin.;i̇ltahap i̇rin;i̇ltahap i̇rin;i̇ltahap i̇rin;i̇ltahap i̇rin
Cereme;Zahmet,eziyet,sıkıntı.;zahmet eziyet sıkıntı;eziyet sıkıntı zahmet;eziyet sıkıntı zahmet;eziyet sık zahmet
Cerlemek;Sinirlenme,bağırma.;sinirlenme bağırma;bağırma sinirlenme;bağırma sinirlenme;bağır sinirlen
Cıbban;Alkış.;alkış;alkış;alkış;alkış
Cıbıl;Yırtık pırtık giyinen,yarı açık elbise.;pırtık yırtık açık giyinen yarı elbise;açık elbise giyinen pırtık yarı yırtık;açık elbise giyinen pırtık yarı yırtık;açık elbise giyinen pır yar yır
Cıbıldak;Çıblak. Yoksul.;çıblak yoksul;yoksul çıblak;yoksul çıblak;yoksul çıblak
Cıdık;Daldan kuş kapanı.;kapanı daldan kuş;daldan kapanı kuş;daldan kapanı kuş;dal kapan kuş
Cıftır;Çok hızlı şekilde.;şekilde hızlı çok;hızlı şekilde;hızlı şekilde;hızl şekil
Cılga;Küçük ark,ince su yol.Dar yol.;yol ark ince su yol dar küçük;ark dar ince küçük su yol;ark dar ince küçük su yol;ark dar ince küçük su yol
Cılk;Sulu bozulmuş yumurta.;sulu bozulmuş yumurta;bozulmuş sulu yumurta;bozulmuş sulu yumurta;bozul su yumur
Cımbış;Komiklik.Şaka.;komiklik şaka;komiklik şaka;komiklik şaka;komiklik şak
Cındık;Küçük.;küçük;küçük;küçük;küçük
Cıngıl;Küçük su kapı.;küçük kapı su;kapı küçük su;kapı küçük su;kap küçük su
Cırankettirmek;Vurmak,ses çıkartmak.;vurmak ses çıkartmak;ses vurmak çıkartmak;s vurmak çıkartmak;s vurmak çıkartmak
Cırcır;İplik sarma aleti.Devamlı olan ses.;ses sarma olan aleti devamlı i̇plik;aleti devamlı i̇plik olan sarma ses;aleti devamlı i̇plik olan s sarma;alet devam i̇plik olan s sarm
Cırıfta;Küçük ekmek,kızartma.;küçük ekmek kızartma;ekmek küçük kızartma;ekmek küçük kızartma;ekmek küçük kızart
Cırıtla;Hamur işi yağda pişen lokma.;hamur yağda lokma pişen işi;hamur işi lokma pişen yağda;hamur işi lokma pişen yağda;hamur iş lokm pişen yak
Cırım cıngıl;Çok fazla.-Yırtık,pırtık.;fazla yırtık pırtık çok;fazla pırtık yırtık;fazla pırtık yırtık;fazl pır yır
Cırmak;Kök.Ağaç kökü.;kök ağaç kökü;ağaç kök kökü;ağaç kök kökü;ağaç kök
Cıscıbıl;Çırılçıplak.;çırılçıplak;çırılçıplak;çırılçıplak;çırılçıplak
Cırtlık;Küçük çalı kuşu.;kuşu küçük çalı;kuşu küçük çalı;kuşu küçük çalı;kuş küçük çal
Cızan;Oyun bozan.;oyun bozan;bozan oyun;bozan oyun;bozan oyun
Cızıltı;İnce sızan akan.İnce ses.;i̇nce akan i̇nce sızan ses;akan i̇nce ses sızan;akan i̇nce s sızan;akan i̇nce s sızan
Cızmak;Çizmek.;çizmek;çizmek;çizmek;çizmek
Cibilliyet;Soy,sülale.Secere.;soy sülale secere;secere soy sülale;secere soy sülale;secer soy sülale
Cicik;Meme.Göğüs.;meme göğüs;göğüs meme;göğüs meme;göğüs mem
Cidduk;Küçük sevimli çoçuk.;sevimli küçük çoçuk;küçük sevimli çoçuk;küçük sevimli çoçuk;küçük sevim çoçuk
Ciğik;Küçük ses.;ses küçük;küçük ses;küçük s;küçük s
Ciğikleme;Gizlice gözetleme.;gizlice gözetleme;gizlice gözetleme;gizlice gözetleme;gizl gözetle
Cilim;Yapışkan çam  ağacı.;ağacı çam yapışkan;ağacı yapışkan çam;ağacı yapışkan çam;ağaç yapışkan çam
Cimbar;Harabe yer.;harabe yer;harabe yer;harabe yer;harabe yer
Cimcik;Cimdik.;cimdik;cimdik;cimdik;cim
Cinibiz.;Keskin zekalı.Kurnaz.;keskin zekalı kurnaz;keskin kurnaz zekalı;keskin kurnaz zekalı;kesk kurnaz zeka
Cingan;Çingene;çingene;çingene;çingene;çingen
Civirtmak;İshal.Oyundan çıkan.;i̇shal oyundan çıkan;i̇shal oyundan çıkan;i̇shal oyundan çıkan;i̇shal oyun çıkan
Cont;Lastik çizme,potin.;çizme potin lastik;lastik potin çizme;lastik potin çizme;lastik poti çizm
Cöbre;Suyu alınmış ezik üzüm posası.;üzüm ezik suyu posası alınmış;alınmış ezik posası suyu üzüm;alınmış ezik posası suyu üzüm;al ezik posa su üz
Cöbül;Süzülecek üzüm şırası.;üzüm süzülecek şırası;süzülecek üzüm şırası;süzülecek üzüm şırası;süzülecek üz şıra
Cufar;Zehir.;zehir;zehir;zehir;zehir
Cufarlanmak;Sıcaktan bunalma,zehirlenme;bunalma zehirlenme sıcaktan;bunalma sıcaktan zehirlenme;bunalma sıcaktan zehirlenme;bunal sıcak zehirlen
Cücük;Civciv.;civciv;civciv;civciv;civciv
Cümbürcemat;Kalabalık.;kalabalık;kalabalık;kalabalık;kalabalık
Cürüm;Çevre.Etraf.;çevre etraf;etraf çevre;etraf çevre;etraf çevr
"Ç-                                                                                         
Çakıldak";Olmamış ham meyve.;meyve olmamış ham;ham meyve olmamış;ham meyve olmamış;ham meyv olma
Çalan;Şelale.;şelale;şelale;şelale;şelale
Çaldırmak;Uyumak.;uyumak;uyumak;uyumak;uyumak
Çalık;Bakımsız,zayıf.;bakımsız zayıf;bakımsız zayıf;bakımsız zayıf;bakıms zayıf
Çalım;Gösteriş,caka.;gösteriş caka;caka gösteriş;caka gösteriş;cak gösteriş
Çalımsatma;Gösteriş yapma.;yapma gösteriş;gösteriş yapma;gösteriş yapma;gösteriş yapma
Çalpalamak;Çalkalamak.;çalkalamak;çalkalamak;çalkalamak;çalkalamak
Çalpara;Kalaylı tencere.;kalaylı tencere;kalaylı tencere;kalaylı tencere;kalay tencer
Çangal;Uzun fasulye sırığı.;uzun sırığı fasulye;fasulye sırığı uzun;fasulye sırığı uzun;fasulye sırık uzun
Çarpık;Felçli.;felçli;felçli;felçli;felç
Çaplama;Sallamak.;sallamak;sallamak;sallamak;sallamak
Çapula;Ayakkapı.;ayakkapı;ayakkapı;ayakkapı;ayakkap
Çaput;Kalın bez parçası.Eski elbise.;parçası eski elbise bez kalın;bez elbise eski kalın parçası;bez elbise eski kalın parçası;bez elbise esk kal parça
Çardak;Çatı kısmı.;kısmı çatı;kısmı çatı;kısmı çatı;kısm çat
Çatmak;Rastlama.Rast gelme.;rastlama rast gelme;gelme rast rastlama;gelme rast rastlama;gelm rast rastla
Çavgun;Sağnak yağmur.;sağnak yağmur;sağnak yağmur;sağnak yağmur;sağnak yağmur
Çavun;İz.;i̇z;i̇z;i̇z;i̇z
Çaytak;Bacakları dışa eğri kimse.;eğri bacakları kimse dışa;bacakları dışa eğri kimse;bacakları dışa eğri kimse;bacak dış eğr kims
Çebiç;Keçi yavrusu,oğlak;yavrusu oğlak keçi;keçi oğlak yavrusu;keçi oğlak yavrusu;keç oğlak yavru
Çeç;Ayıklanmış tane fındık.;tane ayıklanmış fındık;ayıklanmış fındık tane;ayıklanmış fındık tane;ayıklan fın tane
Çekek;Küçük gemi barınağı.;küçük barınağı gemi;barınağı gemi küçük;barınağı gemi küçük;barınak gemi küçük
Çekerez;Bir sincap çeşitti.;sincap bir çeşitti;bir sincap çeşitti;bir sincap çeşitti;bir sincap çeşit
Çekişme;Ağız kavgası.;ağız kavgası;ağız kavgası;ağız kavgası;ağız kavga
Çelik;Oyunda kısa çubuk.;kısa çubuk oyunda;kısa oyunda çubuk;kısa oyunda çubuk;kıs oyun çubuk
Çençük;Kapı kilidi,mandalı.;kilidi mandalı kapı;kapı kilidi mandalı;kapı kilidi mandalı;kap kili manda
Çendik;İşaret,iz.;i̇şaret iz;iz i̇şaret;iz i̇şaret;iz i̇şaret
Çenti;Dastardan yapılan Süslü çanta.;çanta süslü dastardan yapılan;dastardan süslü yapılan çanta;dastardan süslü yapılan çanta;dastar süsl yapılan çanta
Çentik;Çizik,kertük.Yiv.;çizik kertük yiv;kertük yiv çizik;kertük yiv çizik;kertük yiv çizik
Çeltuk;İçi boş fındık çotanağı.;boş fındık çotanağı i̇çi;boş fındık i̇çi çotanağı;boş fındık i̇çi çotanağı;boş fın i̇çi çotanak
Çepin;Küçük kazma.;küçük kazma;kazma küçük;kazma küçük;kazm küçük
Çepni;Karadeniz bölgesine yerleşen Türkmen boyları.;karadeniz yerleşen türkmen boyları bölgesine;boyları bölgesine karadeniz türkmen yerleşen;boyları bölgesine karadeniz türkmen yerleşen;boy bölge karade türkmen yerleşen
Çettüğüm;Kördüğüm.;kördüğüm;kördüğüm;kördüğüm;kördük
Çıban;Büyük derin sivilce.;derin büyük sivilce;büyük derin sivilce;büyük derin sivilce;büyük der sivil
Çıbarca;Eğrelti otu çeşiti.;otu çeşiti eğrelti;eğrelti otu çeşiti;eğrelti otu çeşiti;eğrel ot çeşi
Çıkıntı;Evlere sonradan ilave edeilen oda.Görülen uç.;ilave sonradan edeilen evlere oda görülen uç;edeilen evlere görülen ilave oda sonradan uç;edeilen evlere görülen ilave oda sonradan uç;edeilen ev görülen ilave o sonra uç
Çıkrık;Yünden iplik yapma tezgahı.;iplik yünden tezgahı yapma;iplik tezgahı yapma yünden;iplik tezgahı yapma yünden;iplik tezgah yapma yün
Çılmık;İnce çubuk.;i̇nce çubuk;i̇nce çubuk;i̇nce çubuk;i̇nce çubuk
Çılpı;Doğrultu.;doğrultu;doğrultu;doğrultu;doğrul
Çıngıl;Sakık,sallanan;sakık sallanan;sakık sallanan;sakık sallanan;sakık sallanan
Çıpır;Alaca çok renkli.;alaca çok renkli;alaca renkli;alaca renkli;alaç renk
Çıpırdak;Çok parlak renkli.;parlak renkli çok;parlak renkli;parlak renkli;parlak renk
Çıtır;İnce sık dallı dikenli.;i̇nce dallı dikenli sık;dallı dikenli i̇nce sık;dallı dikenli i̇nce sık;dall diken i̇nce sık
Çıtlaböcü;Ateşböceği.;ateşböceği;ateşböceği;ateşböceği;ateşböcek
Çıtlak;Ateş parçası.Kıvılcım.;parçası kıvılcım ateş;ateş kıvılcım parçası;ateş kıvılcım parçası;ateş kıvılç parça
Çibre;Yazı yazma ucu,dolmakalem ucu.;yazı ucu dolmakalem ucu yazma;dolmakalem ucu yazma yazı;dolmakalem ucu yazma yazı;dolmakalem uç yaz yazm
Çiğselti;İnce yağan yağmur.Çiğse.;i̇nce yağmur çiğse yağan;i̇nce yağan yağmur çiğse;i̇nce yağan yağmur çiğse;i̇nce yağan yağmur çiğs
Çil;Yeni çimlenmiş tohum.;çimlenmiş yeni tohum;tohum yeni çimlenmiş;tohum yeni çimlenmiş;toh yen çimlen
